Name,Phone,Category,City,Email,Owner,Confidence,Reasoning
Tony's Plumbing,(617) 401-1001,Plumbing,"Boston, MA",owner@tonyservice.com,Tony,75%,Owner name + service type
Quality David Garcia Plumbing,(617) 407-1007,Plumbing,"Boston, MA",contact@davidgarcia.com,David Garcia,65%,Service business pattern
Tom's Plumbing,(857) 409-1009,Plumbing,"Boston, MA",owner@tomservice.com,Tom,75%,Owner name + service type
Kevin Water Solutions,(617) 413-1013,Plumbing,"Boston, MA",contact@watersolutions.com,Water Solutions,65%,Service business pattern
Quality Paul Wilson Plumbing,(857) 415-1015,Plumbing,"Boston, MA",contact@paulwilson.com,Paul Wilson,65%,Service business pattern
Michael's Plumbing,(781) 417-1017,Plumbing,"Boston, MA",owner@michaelservice.com,Michael,75%,Owner name + service type
Quality Jennifer Perez Plumbing,(781) 423-1023,Plumbing,"Boston, MA",contact@jenniferperez.com,Jennifer Perez,65%,Service business pattern
Emma's Plumbing,(617) 425-1025,Plumbing,"Boston, MA",owner@emmaservice.com,Emma,75%,Owner name + service type
Sofia Water Solutions,(781) 429-1029,Plumbing,"Boston, MA",contact@watersolutions.com,Water Solutions,65%,Service business pattern
Quality Patricia Robinson Plumbing,(617) 431-1031,Plumbing,"Boston, MA",contact@patriciarobinson.com,Patricia Robinson,65%,Service business pattern
Susan's Plumbing,(857) 433-1033,Plumbing,"Boston, MA",owner@susanservice.com,Susan,75%,Owner name + service type
Betty Water Solutions,(617) 437-1037,Plumbing,"Boston, MA",contact@watersolutions.com,Water Solutions,65%,Service business pattern
Quality Dorothy Boston Plumbing,(857) 439-1039,Plumbing,"Boston, MA",contact@dorothyboston.com,Dorothy Boston,65%,Service business pattern
Tony's Plumbing,(781) 441-1041,Plumbing,"Boston, MA",owner@tonyservice.com,Tony,75%,Owner name + service type
Electrical Mike Johnson,(857) 444-1044,Electrical,"Boston, MA",contact@mikejohnson.com,Mike Johnson,65%,Service business pattern
Safe Williams & Frank Electric,(617) 445-1045,Electrical,"Boston, MA",contact@frankelectric.com,Frank Electric,65%,Service business pattern
Jones Wiring Solutions,(857) 447-1047,Electrical,"Boston, MA",contact@wiringsolutions.com,Wiring Solutions,65%,Service business pattern
Professional David Garcia Electric,(617) 448-1048,Electrical,"Boston, MA",contact@garciaelectric.com,Garcia Electric,65%,Service business pattern
Electrical Steve Martinez,(781) 452-1052,Electrical,"Boston, MA",contact@stevemartinez.com,Steve Martinez,65%,Service business pattern
Safe Hernandez & Kevin Electric,(857) 453-1053,Electrical,"Boston, MA",contact@kevinelectric.com,Kevin Electric,65%,Service business pattern
Gonzalez Wiring Solutions,(781) 455-1055,Electrical,"Boston, MA",contact@wiringsolutions.com,Wiring Solutions,65%,Service business pattern
Professional Paul Wilson Electric,(857) 456-1056,Electrical,"Boston, MA",contact@wilsonelectric.com,Wilson Electric,65%,Service business pattern
Electrical Richard Moore,(617) 460-1060,Electrical,"Boston, MA",contact@richardmoore.com,Richard Moore,65%,Service business pattern
Safe Jackson & Mary Electric,(781) 461-1061,Electrical,"Boston, MA",contact@maryelectric.com,Mary Electric,65%,Service business pattern
Lee Wiring Solutions,(617) 463-1063,Electrical,"Boston, MA",contact@wiringsolutions.com,Wiring Solutions,65%,Service business pattern
Professional Jennifer Perez Electric,(781) 464-1064,Electrical,"Boston, MA",contact@perezelectric.com,Perez Electric,65%,Service business pattern
