Name,Phone,Category,City,Email,Website,Status
Boston Standard Plumbing & Heating Inc.,(617) 555-0001,Plumbing,Boston,scheduling@bostonstandardplumbing.com,bostonstandardplumbing.com,Verified
Dello Russo Plumbing & Heating,(781) 555-0002,Plumbing,Boston,dellorussoplumbing@gmail.com,dellorussoplumbing.com,Verified
Denommee Plumbing HVAC & Electric,(781) 555-0003,Plumbing,Boston,info@denommeeplumbing.com,denommeeplumbing.com,Verified
Aquaflow Plumbing & Heating Inc.,(617) 555-0004,Plumbing,Boston,misterplumber@verizon.net,aquaflowplumbing.com,Verified
Vaughan Plumbing & Heating,(781) 555-0005,Plumbing,Boston,greg@vaughanplumbing.com,vaughnplumbinghvac.com,Verified
128 Plumbing Heating Cooling & Electric,(617) 555-0006,Plumbing,Boston,ryan@call128.com,128plumbing.com,Verified
Horvitz Plumbing & Heating,(617) 555-0007,Plumbing,Boston,info@horvitzplumbing.com,horvitzplumbing.com,Verified
Bostonia Public House,(617) 555-0101,Restaurant,Boston,info@bostoniapublichouse.com,bostoniapublichouse.com,Verified
Davios Northern Italian Steakhouse - Back Bay,(617) 555-0102,Restaurant,Boston,shannon@davios.com,davios.com,Verified
Davios Northern Italian Steakhouse - Seaport,(617) 555-0103,Restaurant,Boston,shannon@davios.com,davios.com,Verified
Mamma Maria,(617) 555-0104,Restaurant,Boston,mammamariaboston@gmail.com,mammamariaboston.com,Verified
MIDA South End,(617) 555-0105,Restaurant,Boston,info@midaboston.com,midaboston.com,Verified
MIDA Fenway,(617) 555-0106,Restaurant,Boston,info@midaboston.com,midaboston.com,Verified
MIDA East Boston,(617) 555-0107,Restaurant,Boston,info@midaboston.com,midaboston.com,Verified
Mistral,(617) 555-0108,Restaurant,Boston,nphelps@mistralbistro.com,mistralbistro.com,Verified
Mooncusser,(617) 555-0109,Restaurant,Boston,info@mooncusserboston.com,mooncusserboston.com,Verified
Myers + Chang,(617) 555-0110,Restaurant,Boston,info@myersandchang.com,myersandchang.com,Verified
Saltie Girl,(617) 555-0111,Restaurant,Boston,boston@saltiegirl.com,saltiegirl.com,Verified
SRV,(617) 555-0112,Restaurant,Boston,info@srvboston.com,srvboston.com,Verified
Yvonnes,(617) 555-0113,Restaurant,Boston,info@yvonnesboston.com,yvonnesboston.com,Verified
Electrician Boston,(617) 555-0201,Electrical,Boston,info@electricianbostonma.com,electricianbostonma.com,Verified
Boston Electrical Services,(617) 555-0202,Electrical,Boston,service@boston-electrical.com,boston-electrical.com,Verified
Dice Licensed Electricians,(617) 555-0203,Electrical,Boston,inquire@dicelicensedelectricians.info,dicelicensedelectricians.info,Verified
L & F Electrical Services LLC,(781) 555-0204,Electrical,Boston,lfelectricalservice@gmail.com,lfelectricalservice.com,Verified
Stars Licensed Electrical Services,(617) 555-0205,Electrical,Boston,contact@stars-licensed-electrical-services.com,stars-licensed-electrical-services.com,Verified
ER Electric,(617) 555-0206,Electrical,Boston,info@erelectric.biz,erelectric.biz,Verified
Kuhlman Electric Boston,(617) 555-0207,Electrical,Boston,info@kuhlmanelectricalservices.com,kuhlmanelectricalservices.com,Verified
TT Electrical Contractors Inc.,(617) 555-0208,Electrical,Boston,info@tt-electric.com,tt-electric.com,Verified
Grieco Electric,(978) 555-0209,Electrical,Boston,info@griecoelectric.com,griecoelectric.com,Verified
MJ Electrical Services,(617) 555-0210,Electrical,Boston,info@mjelectricalservices.com,mjelectricalservices.com,Verified
Systems Electrical Services,(617) 555-0211,Electrical,Boston,info@systemselectricalservices.com,systemselectricalservices.com,Verified
